"player","ecr_01","ecr_02","ecr_03","ecr_04","ecr_05","ecr_08","ecr_09","ecr_10","ecr_11","ecr_12","ecr_13","ecr_14","ecr_15","ecr_16","ecr_17"
"Adam Vinatieri","17",NA,NA,"13","14","17","19","10","17",NA,NA,NA,NA,NA,NA
"Aldrick Rosas","20",NA,"22","10",NA,"16","22","15",NA,NA,NA,NA,NA,NA,NA
"Austin Seibert","21","15","18",NA,NA,NA,"20","21","22","7","18","11","7",NA,"20"
"Brandon McManus","15",NA,NA,NA,NA,"23",NA,NA,NA,NA,NA,NA,NA,"11","15"
"Brett Maher","8","8","2","7","8",NA,"5","7","4","19","8","15",NA,NA,NA
"Chris Boswell","18","13",NA,"16",NA,"11","14","17","16","13","24","14",NA,"17","16"
"Dan Bailey","13","16","11",NA,"20","6","6","11","8",NA,"15","7","9","7","11"
"Daniel Carlson","23",NA,NA,NA,NA,NA,NA,"14","7","11","19","22",NA,NA,NA
"Dustin Hopkins","25",NA,NA,"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eddy Pineiro","24",NA,NA,NA,"16","21","23","18",NA,"22","22",NA,NA,NA,NA
"Greg Zuerlein","1","4","4","1","2","1",NA,"5","6","8","4","6","4","22","8"
"Harrison Butker","4","1","3","2","1","12","11","3","3",NA,"1","10","5","4","2"
"Jake Elliott","6","7","8","12","9","20","16",NA,"21","14","5","3","11","12","9"
"Jason Myers","9","14","10","5","7","2","1","16",NA,"10","13","12","8","3","13"
"Joey Slye","27","18","12","15","10","14","10","12","5","15","12","17","16",NA,NA
"Josh Lambo","16",NA,NA,"18",NA,"10","9",NA,NA,"16",NA,NA,NA,"19","18"
"Justin Tucker","3","3","5","3","3",NA,"7","2","2","2","3","2","1","1","10"
"Ka'imi Fairbairn","10","6","9","4","5","9","8",NA,"12","5","16","9","15","8","14"
"Mason Crosby","12","12","7","6","11","4","4","8",NA,"18","6","1","10","14","6"
"Matt Bryant","14","11","13","8","13","18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Matt Gay","19",NA,"14","20","15","19","13","4","10","4","9","5","6","9","5"
"Matt Prater","11","10","17","9",NA,"3","2","13","14","9","17",NA,"21",NA,NA
"Robbie Gould","7","9","6",NA,"6","8","3",NA,NA,NA,NA,"16","3","6","3"
"Stephen Gostkowski","5","2","1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stephen Hauschka","22","17","16",NA,NA,"15","12","19","11","12","21",NA,NA,NA,NA
"Wil Lutz","2","5","19","11","4","5",NA,"1","1","1","2","4","2","2","1"
"Cairo Santos",NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zane Gonzalez",NA,NA,"15","14","18","13","17","9","15",NA,"7",NA,"13","20",NA
"Chase McLaughlin",NA,NA,NA,NA,"24",NA,NA,"22","20",NA,NA,NA,NA,NA,"17"
"Mike Nugent",NA,NA,NA,NA,"12","7",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Randy Bullock",NA,NA,NA,NA,"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Michael Badgley",NA,NA,NA,NA,NA,NA,NA,"6","9",NA,"10","13","14","10",NA
"Ryan Succop",NA,NA,NA,NA,NA,NA,NA,"20",NA,"20",NA,"18","",NA,NA
"Nick Folk",NA,NA,NA,NA,NA,NA,NA,NA,"13","6",NA,NA,"12","13","4"
"Younghoe Koo",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","11","8","20","5","7"
"Sam Ficken",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21",NA,NA,NA
"Jason Sanders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18","18",NA
"Kai Forbath",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","12"
"Greg Joseph",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19"
