"player","ecr_01","ecr_02","ecr_03","ecr_04","ecr_05","ecr_06","ecr_07","ecr_08","ecr_09","ecr_10","ecr_11","ecr_12","ecr_13","ecr_14","ecr_15","ecr_16","ecr_17"
"Adam Shaheen","35","40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austin Hooper","12","12","10","10","7","2","6","6",NA,"3",NA,NA,NA,"8","8","6","4"
"Ben Braunecker","71","67",NA,NA,NA,NA,NA,NA,NA,NA,"34","29",NA,"82",NA,NA,NA
"Cameron Brate","27","26","25","29","26","24",NA,"16","12",NA,"30","12","26","31","22","18","17"
"Charles Clay","33","41","42","48","47","47","46",NA,"39","32","39",NA,"38","46","46","50",NA
"Dallas Goedert","22","21",NA,NA,NA,"18","15","15","13",NA,"12","6","9","9","11","12","3"
"Darren Waller","15","6","6","3","6",NA,"8","2","2","5","3","2","5","5","5","5","6"
"David Njoku","9","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"53","26","",NA,NA
"Delanie Walker","10","7","11","8","12","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eric Ebron","14","17","13","11","14",NA,"13","12","11","9","9","",NA,NA,NA,NA,NA
"Evan Engram","6","4","5","2","4",NA,"3","5","5",NA,NA,NA,NA,NA,NA,NA,NA
"Geoff Swaim","29","38","28",NA,"37","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"George Kittle","2","2","3",NA,"2","3","2","1","1",NA,NA,"7","2","1","1","1","1"
"Gerald Everett","23","28","24","20","21","8","9","8",NA,"7","8","11",NA,NA,NA,"33",NA
"Greg Olsen","13","14","7","6","9","6",NA,"10","8","6","7","5","8",NA,NA,"15","14"
"Hayden Hurst","28","31",NA,"25","29",NA,"25",NA,"32",NA,NA,"32",NA,"38","24","26","20"
"Hunter Henry","5",NA,NA,NA,NA,"23","7","4","4","2","2",NA,"3","4","4","7","8"
"Ian Thomas","31","32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19","13","32",NA
"Jack Doyle","18","20","23","18","16",NA,"19","23","18","12","11","15","10","7","10","14","12"
"Jared Cook","7","10","12","14","15","10",NA,NA,NA,"13","5","4","7","10","7","8","7"
"Jason Witten","25","23","17","15","17","14","14",NA,"17","17","18","19","21","18","19","20","18"
"Jimmy Graham","17","15","16","17","10","7","12","11","15","18",NA,"18","18","20","23","23","22"
"Kyle Rudolph","16","19","18","24","24","19","26","18","20","19","14",NA,"15","11","17","19",NA
"Mark Andrews","11","8","4","5","5","4","4",NA,"6","4","4","3","6","6","9","4",NA
"Matt LaCosse","42","49",NA,"36",NA,"30",NA,NA,NA,NA,NA,NA,NA,"42","40","44",NA
"Mike Gesicki","26","24","26","28",NA,"28","27","26","23","14","19","16","17","14","16","17","16"
"Nick Vannett","32","33",NA,"34","32","46",NA,NA,NA,NA,NA,NA,NA,"47","34","42",NA
"Noah Fant","21","22","22","19","18","15","18","21","19",NA,"16","13","13","17","15","13","13"
"O.J. Howard","4","5","8","9","11","11",NA,NA,NA,"11","10","24","27","16","12","9","9"
"Ryan Griffin","40","35","33",NA,"43",NA,"38","37","28","23","24","8","11","",NA,NA,NA
"T.J. Hockenson","19","9","14","12",NA,"13","11","9","10","16","15","17","",NA,NA,NA,NA
"Travis Kelce","1","1","1","1","1","1","1","3","3","1","1",NA,"1","2","3","3","2"
"Tyler Eifert","20","18","21","16","13","16","22","31",NA,"24","20","20","24","27","30","22","19"
"Vance McDonald","8","11","9",NA,NA,"12",NA,"13","16","15","13","10","16","12",NA,"31","23"
"Vernon Davis","34","16","19","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Will Dissly","24",NA,"15","7","8","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zach Ertz","3","3","2","4","3","5","5","7","7",NA,"6","1","4","3","2","2",NA
"C.J. Uzomah",NA,"27","32","33","28",NA,"32",NA,NA,NA,NA,"41",NA,"37","41","41",NA
"James O'Shaughnessy",NA,"42","34","31","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jordan Akins",NA,"34",NA,"23","22","17","20","22","22",NA,"27","25","31","30","29","29",NA
"Trey Burton",NA,"25","20","21","20",NA,"21","27","27","",NA,NA,NA,NA,NA,NA,NA
"Tyler Higbee",NA,"29",NA,NA,"35",NA,NA,"32",NA,NA,NA,NA,"12","13","6","11","5"
"Blake Jarwin",NA,NA,"27",NA,"31",NA,NA,NA,NA,NA,NA,"33","33","33","31","30","25"
"Dawson Knox",NA,NA,"36","22","19",NA,"16","19","25","21","22","21","22","23","26","27",NA
"Demetrius Harris",NA,NA,"29","27","34","33",NA,NA,"41","28","28","30",NA,NA,NA,"48",NA
"Maxx Williams",NA,NA,"44",NA,"49","43","39","40",NA,"35","36",NA,"41","43","48","52",NA
"Virgil Green",NA,NA,"35",NA,NA,"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Irv Smith Jr.",NA,NA,NA,"30","30",NA,NA,"24","24","20","23",NA,"23","25","27","25","24"
"Ryan Izzo",NA,NA,NA,"45",NA,"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jeremy Sprinkle",NA,NA,NA,NA,"33","21","28","34","29",NA,"33","26","30","29","37","39",NA
"Lance Kendricks",NA,NA,NA,NA,"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nick Boyle",NA,NA,NA,NA,"38",NA,NA,NA,NA,NA,"26","28","32","34","35","37",NA
"Ricky Seals-Jones",NA,NA,NA,NA,"25","22",NA,"28","30",NA,NA,NA,NA,NA,NA,NA,NA
"Darren Fells",NA,NA,NA,NA,NA,"27","17","17","14",NA,"17","14","20","22","20","24","21"
"Jeff Heuerman",NA,NA,NA,NA,NA,"39",NA,"46",NA,NA,NA,NA,NA,"45","45","51",NA
"Jonnu Smith",NA,NA,NA,NA,NA,"40",NA,"14","9","8",NA,"23","19","21","18","16","11"
"Rhett Ellison",NA,NA,NA,NA,NA,"29","36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Josh Oliver",NA,NA,NA,NA,NA,NA,"35","35","31",NA,"",NA,NA,NA,NA,NA,NA
"Luke Willson",NA,NA,NA,NA,NA,NA,"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seth DeValve",NA,NA,NA,NA,NA,NA,"40","36","42",NA,NA,NA,NA,NA,NA,"46",NA
"Benjamin Watson",NA,NA,NA,NA,NA,NA,NA,"25","26",NA,"25","22","28","28","33","36",NA
"Jacob Hollister",NA,NA,NA,NA,NA,NA,NA,"29","21","10",NA,"9","14","15","14","10","10"
"Josh Hill",NA,NA,NA,NA,NA,NA,NA,"20",NA,NA,NA,NA,NA,NA,"43",NA,NA
"Chris Herndon IV",NA,NA,NA,NA,NA,NA,NA,NA,"35","",NA,NA,NA,NA,NA,NA,NA
"Tyler Kroft",NA,NA,NA,NA,NA,NA,NA,NA,"37",NA,"40",NA,NA,NA,NA,"53",NA
"Ross Dwelley",NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","21","27",NA,NA,NA,NA,NA
"Garrett Celek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"52",NA,NA,NA,NA,NA,NA
"Jaeden Graham",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38","34","25","36",NA,NA,NA
"Luke Stocker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31",NA,NA,NA,NA,NA,NA
"Ben Koyack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39",NA,NA,NA,NA,NA
"Foster Moreau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31","35","39",NA,NA,NA
"Kaden Smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29","24","21","21","15"
"Mo Alie-Cox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36",NA,NA,NA,NA
"Nick O'Leary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34","32","25","35",NA
"Anthony Firkser",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40","36",NA,NA
"Jesse James",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41","42","38",NA
"Logan Thomas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35","28","34",NA
"Marcedes Lewis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"48",NA,NA,NA
"Robert Tonyan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"55",NA,NA,NA
"Ross Travis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51",NA,NA,NA
"Daniel Brown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38","43",NA
"J.P. Holtz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39",NA,NA
"Jesper Horsted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32","28",NA
"Dan Arnold",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"56",NA
